ST,NAME,LBF,UE19B,PU19B,UE07MAR,PU07MAR,UE14MAR,PU14MAR,UE21MAR,PU21MAR,UE28MAR,PU28MAR,UE04APR,PU04APR,UE11APR,PU11APR,UE18APR,PU18APR,UE25APR,PU25APR,UE02MAY,PU02MAY
"39","Ohio",5950686,216288,3.63,223771,3.76,231826,3.90,456277,7.67,769884,12.94,1028499,17.28,1210652,20.34,1336227,22.46,1443246,24.25,1513039,25.43
"40","Oklahoma",1889211,53071,2.81,55029,2.91,57320,3.03,84686,4.48,144274,7.64,219825,11.64,287822,15.24,346102,18.32,411626,21.79,496791,26.30
"41","Oregon",2160031,88243,4.09,93033,4.31,97956,4.53,132617,6.14,187741,8.69,260152,12.04,323099,14.96,366010,16.94,422866,19.58,474881,21.98
"42","Pennsylvania",6594900,216715,3.29,230804,3.50,248594,3.77,683540,10.36,1149856,17.44,1469785,22.29,1740424,26.39,1964661,29.79,2112038,32.03,2223356,33.71
"44","Rhode Island",563946,16681,2.96,17574,3.12,18988,3.37,64729,11.48,100203,17.77,136241,24.16,164963,29.25,188031,33.34,204726,36.30,216331,38.36
"45","South Carolina",2476639,55475,2.24,57932,2.34,60655,2.45,102057,4.12,188534,7.61,301157,12.16,417127,16.84,513864,20.75,600292,24.24,661106,26.69
"46","South Dakota",469372,12986,2.77,13200,2.81,13420,2.86,15462,3.29,23345,4.97,32779,6.98,40151,8.55,46289,9.86,52705,11.23,57059,12.16
"47","Tennessee",3348935,84111,2.51,86332,2.58,89285,2.67,130905,3.91,232011,6.93,354635,10.59,433210,12.94,506692,15.13,553479,16.53,594270,17.75
"48","Texas",14451734,457701,3.17,474963,3.29,494416,3.42,681330,4.71,1013463,7.01,1392479,9.64,1722293,11.92,2059932,14.25,2365485,16.37,2662740,18.43
"49","Utah",1620659,45666,2.82,46824,2.89,48314,2.98,70792,4.37,103363,6.38,141081,8.71,168521,10.40,190952,11.78,204352,12.61,214691,13.25
"50","Vermont",343297,7766,2.26,8305,2.42,9103,2.65,13682,3.99,31389,9.14,51325,14.95,63017,18.36,71001,20.68,77194,22.49,81742,23.81
"51","Virginia",4404766,108678,2.47,111659,2.53,114852,2.61,169458,3.85,302204,6.86,476097,10.81,599545,13.61,697165,15.83,782699,17.77,854842,19.41
"53","Washington",3916636,174722,4.46,182210,4.65,198327,5.06,345364,8.82,552321,14.10,746151,19.05,909654,23.23,1004133,25.64,1162030,29.67,1285556,32.82
"54","West Virginia",784123,36883,4.70,38105,4.86,39128,4.99,43311,5.52,60492,7.71,77639,9.90,95318,12.16,150631,19.21,185906,23.71,201281,25.67
"55","Wisconsin",3104739,80727,2.60,86508,2.79,92448,2.98,150848,4.86,277802,8.95,397763,12.81,477873,15.39,541826,17.45,599038,19.29,642529,20.70
"56","Wyoming",305662,9812,3.21,10425,3.41,11019,3.60,15215,4.98,22561,7.38,30077,9.84,36732,12.02,41764,13.66,45781,14.98,48108,15.74
